"day";"month";"year";"temp"
8;7;2023;20.1
9;7;2023;21.8
10;7;2023;19.9
11;7;2023;16.6
12;7;2023;16.2
13;7;2023;16.7
14;7;2023;17.5
15;7;2023;15.3
16;7;2023;16.2
17;7;2023;16.7
18;7;2023;16.5
19;7;2023;15.1
20;7;2023;14.9
21;7;2023;13.7
22;7;2023;13.3
23;7;2023;15.3
24;7;2023;14.5
25;7;2023;16.1
26;7;2023;15.2
27;7;2023;15.4
28;7;2023;16.5
29;7;2023;17.9
30;7;2023;16.4
31;7;2023;15.8
1;7;2024;16.2
2;7;2024;16.1
3;7;2024;16.5
4;7;2024;12.3
5;7;2024;12.7
6;7;2024;13.7
7;7;2024;13.2
8;7;2024;14.6
9;7;2024;15.9
10;7;2024;13.8
11;7;2024;17.5
12;7;2024;17.9
13;7;2024;20.4
14;7;2024;16.3
15;7;2024;15.6
16;7;2024;16.7
17;7;2024;16.6
18;7;2024;19.6
19;7;2024;19.3
20;7;2024;20
21;7;2024;21.7
22;7;2024;17.6
23;7;2024;19.1
24;7;2024;16
25;7;2024;18
26;7;2024;16
27;7;2024;17.6
28;7;2024;18
29;7;2024;17.5
30;7;2024;17.9
31;7;2024;18.3
1;7;2025;17.6
2;7;2025;18.9
3;7;2025;14.9
4;7;2025;15
5;7;2025;14.7
6;7;2025;17.7
7;7;2025;15.9
8;7;2025;18.5
9;7;2025;17.8
10;7;2025;19.5
11;7;2025;22.3
12;7;2025;24.5
13;7;2025;22
14;7;2025;20.3
15;7;2025;22.2
16;7;2025;23.4
17;7;2025;25.2
18;7;2025;24.5
19;7;2025;24.7
20;7;2025;25.6
21;7;2025;24.5
22;7;2025;24
23;7;2025;22.4
24;7;2025;24.8
25;7;2025;23.3
26;7;2025;22.3
27;7;2025;20
28;7;2025;20.2
29;7;2025;17
30;7;2025;18.8
31;7;2025;17.7
